Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
7,2,High-income countries,1,6,16,2,14,28.533831,2.625,0.627837,10.97519,0.0,,,0.0,0,1.0,0.0,1.322229,,0.186092,subgroup:460564144054422241
7,2,Low- and middle-income countries,2,82,228,94,227,71.466169,0.418034,0.05754,3.037076,1.81163,,,7.801402,1,0.005221,87.181791,0.862022,,0.388675,subgroup:460564144054422243
7,3,High-income country,1,1416,2104,2748,4321,97.677211,1.058242,1.019433,1.098529,,,,0.0,0,1.0,0.0,2.969565,,0.002982,subgroup:460564144054946535
7,3,Low- and middle-income country,2,74,185,41,176,2.322789,1.646801,1.228416,2.207685,,,,1.0E-6,1,0.999168,0.0,3.335609,,8.51E-4,subgroup:460564144054946537
10,1,Female,1,49,164,57,169,33.12841,0.888855,0.648763,1.217799,0.0,,,0.13119,1,0.717201,0.0,0.733408,,0.46331,subgroup:460564144058354440
10,1,Male,2,104,376,117,360,66.87159,0.911847,0.62114,1.338611,0.038478,,,1.674071,1,0.195714,40.265371,0.471122,,0.637554,subgroup:460564144058616587
10,2,Female,1,58,164,65,169,33.197424,0.928723,0.703644,1.225799,0.0,,,0.009841,1,0.92098,0.0,0.522195,,0.601534,subgroup:460564144058878735
10,2,Male,2,122,375,138,358,66.802576,0.846403,0.695998,1.029311,0.0,,,0.691944,1,0.405504,0.0,1.670556,,0.094809,subgroup:460564144059140882
11,1,<70 years,1,74,357,90,350,41.737374,0.82031,0.627139,1.072981,0.0,,,0.865451,1,0.352218,0.0,1.445797,,0.148234,subgroup:460564144059403031
11,1,≥ 70 years,2,79,183,84,179,58.262626,0.912521,0.727013,1.145363,0.0,,,0.038731,1,0.843983,0.0,0.789486,,0.429828,subgroup:460564144059665178
11,2,<70 years,1,86,357,107,349,38.97881,0.798025,0.627017,1.015671,0.0,,,0.771222,1,0.379839,0.0,1.833593,,0.066714,subgroup:460564144059927326
11,2,≥ 70 years,2,94,182,96,178,61.02119,0.940856,0.775914,1.140859,0.0,,,0.394469,1,0.52996,0.0,0.619932,,0.535303,subgroup:460564144059927329
12,1,High-income countries,1,139,589,161,582,86.617925,0.844375,0.697191,1.022632,0.0,,,0.144477,1,0.70387,0.0,1.730962,,0.083459,subgroup:460564144060451622
12,1,Low- and middle-income countries,2,20,49,19,49,13.382075,1.052632,0.646614,1.713594,0.0,,,0.0,0,1.0,0.0,0.206306,,0.836552,subgroup:460564144060713769
12,2,High-income countries,1,164,582,188,570,85.085306,0.851877,0.718165,1.010484,,,,0.003097,1,0.955622,0.0,1.840243,,0.065733,subgroup:460564144060713772
12,2,Low- and middle-income countries,2,54,135,31,96,14.914694,1.346787,0.932777,1.944553,,,,3.568532,1,0.058884,71.977276,1.588639,,0.112142,subgroup:460564144060975919
