Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,All-cause mortality at up to day 28,Individuals with severe disease,SUBGROUP_AND_OVERALL,Estcourt 2021,2021,0.0,0.0,0.0,0.0,352,1074,0.0,0.0,300,904,0.0,0.0,18.837778,0.98761,0.870637,1.120299,,Low risk,"<p>Participants were randomized via a centralized computer program to each intervention (available locally) starting with balanced assignment. The study will randomly allocate participants to one or more interventions, with each intervention nested within a domain. In this regard, a platform trial is no different to other forms of RCT in that randomization provides the basis for causal inference. However, unlike a conventional RCT, the proportion of participants who are randomized to each available intervention within a domain will not be fixed. Rather, the trial will incorporate RAR. RAR utilizes random allocation with a weighted probability for each intervention, with the weighted probability being proportional to the extent to which similar participants recruited earlier in the trial benefited or not from each particular intervention.</p>",Low risk,,Low risk,,Low risk,,Low risk,,Low risk,
1,1,All-cause mortality at up to day 28,Individuals with severe disease,SUBGROUP_AND_OVERALL,Li 2020,2020,0.0,0.0,0.0,0.0,8,51,0.0,0.0,12,50,0.0,0.0,0.481293,0.653595,0.292191,1.462008,,Low risk,<p>Participants were block randomized via computer-generated random numbering in a 1:1 ratio to receive standard treatment coupled with convalescent plasma transfusion or standard treatment alone and the allocation sequence was concealed. There are no baseline differences that would suggest a problem with randomisation.</p>,Low risk,"<p>Quote: &quot;Open-label&quot;</p><p>Comment: All the patients received their assigned intervention.</p><p>Comment: The co-interventions were not balanced across arms, but there was no evidence for a protocol deviation.</p>",Low risk,<p>Comment: An intention-to-treat (ITT) analysis was performed. </p>,Low risk,"<p>Quote: &quot;To avoid assessment bias, the evaluation of clinical outcomes was performed by an investigator who was blind to the study group allocation.&quot;</p>",Low risk,<p>Comment: The outcome was assessed as determined at the protocol stage and in the SAP. </p>,Low risk,"<p>Comment: For the outcome &quot;mortality&quot; in this study, all the domains have a low risk of bias.</p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Begin 2021,2021,0.0,0.0,0.0,0.0,141,614,0.0,0.0,63,307,0.0,0.0,4.452505,1.119048,0.859799,1.456466,,Low risk,"<p>Patients were randomised in a 2:1 ratio to receive convalescent plasma or standard of care using a secure, concealed, computer-generated, web-accessed randomization sequence (REDCap v11.0.1). Eligible patients were randomly assigned to receive either convalescent plasma or standard of care.</p>",Low risk,"<p>Participants and those delivering the intervention were aware of intervention received. The trial was terminated at 78% of planned enrollment after meeting stopping criteria for futility, according to protocol, so the interim analysis was no deviation from the protocol and the analysis was appropriate.</p>",Low risk,<p>Data were available for nearly all (921/938) participants. 17 Participants were lost to follow-up at day 30 (after discharge).</p>,Low risk,<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. </p>,Low risk,<p>The data that produced this result was analysed in accordance with the pre-specified analysis plan and the outcome was reported as planned in the protocol. </p>,Low risk,
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Devos 2021,2021,0.0,0.0,0.0,0.0,29,320,0.0,0.0,14,163,0.0,0.0,0.839538,1.055134,0.573693,1.9406,,Low risk,"<p>Patients were randomised through a computerised system (RedCap®, Vanderbilt University, USA, Version 10.6.13) according to a 2:1 allocation scheme stratified by study site using randomly selected block sizes of 6 or 9, to open-label convalescent plasma combined with standard of care (intervention group) or standard of care alone (control group).</p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial protocol.<br/> </p>,Low risk,<p>- </p>
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Gharbharan 2021,2021,0.0,0.0,0.0,0.0,6,43,0.0,0.0,11,43,0.0,0.0,0.384829,0.545455,0.221667,1.342194,,Low risk,<p>Participants were randomized via a web-based system in a 1:1 ratio to the current standard of care at each hospital with or without the addition of convalescent plasma. There are no baseline differences that would suggest a problem with randomisation.</p>,Not applicable,,Low risk,,Low risk,,Low risk,,Not applicable,
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Horby 2021b,2021,0.0,0.0,0.0,0.0,1399,5795,0.0,0.0,1408,5763,0.0,0.0,64.652202,0.988121,0.926511,1.053828,,Low risk,"<p>Participants were randomized through web-based simple randomization with allocation concealment in a 1:1:1 ratio to a platform trial in a factorial design, receiving either convalescent plasma in addition to the standard therapy or standard of care alone. There are no baseline differences that would suggest a problem with randomisation.</p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,"<p>Data for this outcome was available for all 11,558 participants randomized.</p>",Low risk,<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were probably not aware of the intervention received.</p>,Low risk,<p>The data that produced this result was analysed in accordance with the pre-specified analysis plan and the outcome was reported as planned in the protocol. </p>,Low risk,"<p>For the outcome &quot;28-day mortality&quot;, there was a low risk of bias for all the domains. </p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Koerper 2021,2021,0.0,0.0,0.0,0.0,8,53,0.0,0.0,14,52,0.0,0.0,0.512858,0.560647,0.257034,1.222893,,Low risk,"<p>Patients were randomized using a Web-based system with a stratified 1:1 allocation ratio between each stratum (Figure 1). Patients were stratified prior to permutated block randomization by presence or absence of ventilation support, ECMO, or ICU treatment.</p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial protocol.</p>,Low risk,<p>- </p>
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Ortigoza 2022,2022,0.0,0.0,0.0,0.0,59,462,0.0,0.0,71,462,0.0,0.0,3.02392,0.830986,0.603245,1.144704,,Low risk,<p>A centralized electronic system was used to randomly assign enrolled patients to receive CCP or placebo in a 1:1 ratio stratified by enrollment site and risk status using randomization block sizes of 4 and 6 to maintain balanced group sizes. Allocation was concealed. </p>,Low risk,"<p>Patients, treating clinicians, trial personnel, and outcome assessors were blinded to group assignment and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for all participants randomized.</p>,Low risk,<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The data that produced this result was analysed in accordance with the pre-specified analysis plan and the outcome was reported as planned in the protocol. </p>,Low risk,<p>- </p>
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Ray 2022,2022,0.0,0.0,0.0,0.0,10,40,0.0,0.0,14,40,0.0,0.0,0.668484,0.714286,0.360792,1.414122,,Some concerns,"<p>Participants were probably allocated randomly to either the standard of care group alone or standard of care with convalescent plasma group and there were no further information given on the randomization process. There is no information on the allocation concealment, the trial registry only indicates concealment through &quot;Case Record Numbers&quot;. There were no baseline imbalances that would suggest a problem with randomisation.</p>",Low risk,"<p>Comment: This was an open label trial.</p><p>Comment: There was no flow chart available in the report, but the necessary information was provided in the text. </p><p>Quote: &quot;All patients recruited in CPT arm received two transfusions of 200ml ABO-matched convalescent plasma on two successive days, first one being on the day on enrolment, except for one patient who succumbed before he could be transfused with second unit&quot;</p>",Low risk,<p>Comment: An intention-to-treat (ITT) analysis was performed.</p>,Low risk,"<p>Comment: Mortality is a clear and objective outcome, death vs. alive.</p>",Low risk,"<p>Comment: Neither the protocol, not the SAP was given, but the trial registry was available. The outcome 30-day mortality was mentioned in the registry. </p>",High risk,"<p>Comment: For the outcome &quot;mortality&quot; in this study, there is a low risk of bias due to deviations from intended interventions, due to missing outcome data, in measurement of the outcome and in selection of the reported result . There is a high risk of bias from the randomization process.</p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Sekine 2021,2021,0.0,0.0,0.0,0.0,18,80,0.0,0.0,13,80,0.0,0.0,0.755104,1.384615,0.728235,2.63261,,Low risk,<p>Patients were randomly assigned in a 1:1 ratio to receive two infusions 48 h apart of 300mL of CP plus Standard of Care (SOC) or SOC alone. Randomisation was performed using computer-generated randomisation with random block sizes of 2 or 4 and stratified according to the unit of hospitalisation on enrolment.</p>,Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial protocol.</p>,Low risk,<p>-</p>
1,1,All-cause mortality at up to day 28,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Van den Berg 2022,2022,0.0,0.0,0.0,0.0,11,52,0.0,0.0,13,51,0.0,0.0,0.629334,0.829882,0.410489,1.677764,,Low risk,"<p>Eligible and consenting participants were randomized (1:1) to receive either a single infusion of 200–250 mL CCP or 200 mL of placebo, together with local standard of care. Random assignment was stratified by study site, age (≥ or &lt; 65 years), and body mass index (BMI) (≥ or &lt; 30 kg/m2). An electronic randomisation application (REDCap) hosted by SANB, was used to generate the treatment allocation. To mask treatment allocation, investigational product (IP) was covered in opaque paper wrapping prior to dispatch from the blood bank. </p>",Low risk,"<p>Both participants and those delivering the intervention were probably not aware of intervention received, as treatment allocation was masked (plasma was covered in opaque paper wrapping) and there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for nearly all participants randomized (two participants withdrew consent and two were transferred to alternative facilities prior to transfusion) .</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,"<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registry, the protocol was not available.</p>",Low risk,<p>-</p>
1,2,All-cause mortality at up to day 60,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Koerper 2021,2021,0.0,0.0,0.0,0.0,11,53,0.0,0.0,17,52,0.0,0.0,40.114406,0.63485,0.329815,1.222002,,Low risk,"<p>Patients were randomized using a Web-based system with a stratified 1:1 allocation ratio between each stratum (Figure 1). Patients were stratified prior to permutated block randomization by presence or absence of ventilation support, ECMO, or ICU treatment.</p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate, and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial protocol.</p>,Low risk,<p>-</p>
1,2,All-cause mortality at up to day 60,Individuals with moderate to severe disease,SUBGROUP_AND_OVERALL,Pouladzadeh 2021,2021,0.0,0.0,0.0,0.0,3,30,0.0,0.0,5,30,0.0,0.0,9.59599,0.6,0.157279,2.28893,,Low risk,"<p>This parallel-group, single-blind, and randomized controlled trial was designed by randomly assigning patients to the intervention and control groups using a 6-item randomized block method by computer and an equal allocation ratio (1:1). </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate, and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Some concerns,<p>The data that produced this result was not mentioned as predefined outcomes in the trial registration and there was no protocol available.</p>,Some concerns,<p>-</p>
1,2,All-cause mortality at up to day 60,Individuals with severe disease,SUBGROUP_AND_OVERALL,De Santis 2022,2022,0.0,0.0,0.0,0.0,11,36,0.0,0.0,25,71,0.0,0.0,50.289604,0.867778,0.483508,1.557446,,Some concerns,"<p>The study methods it is stated that this is a &quot;investigator-initiated multicenter open-label randomized controlled trial&quot;, but no further information on the allocation sequence concealment. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized<br/> </p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.<br/> </p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registration.<br/> </p>,Some concerns,<p>-</p>
1,3,All-cause mortality (time to event),Individuals with moderate disease,SUBGROUP_AND_OVERALL,Avendano-Sola 2021,2020,-0.776529,0.459318,0.0,0.0,0,179,0.0,0.0,0,171,0.0,0.0,0.4704,0.46,0.186976,1.131696,,Low risk,<p>Participants were randomized through a web-based eCRF system (ORACLE clinical) in a 1:1 ratio to receive either convalescent plasma in addition to the standard therapy or standard of care alone and the allocation sequence was concealed. There are no baseline differences that would suggest a problem with randomisation.</p>,Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for all the participants randomized and relevant for this subgroup.</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registration.</p>,Low risk,"<p>For the outcome &quot;all-cause mortality (time to event)&quot;, there is a low risk of bias for all the domains. </p>"
1,3,All-cause mortality (time to event),Individuals with moderate disease,SUBGROUP_AND_OVERALL,Kirenga 2021,2021,0.215111,0.473066,0.0,0.0,0,69,0.0,0.0,0,67,0.0,0.0,0.443457,1.24,0.490622,3.133979,,Low risk,"<p>Randomisation was performed using permuted block randomisation with varying block sizes ranging from 4 to 8. Generation of randomisation numbers was done by the study biostatistician, who did not have contact with participants. The biostatistician printed individual randomisation numbers with their corresponding treatment assignment and placed each number in an opaque envelope. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registration.</p>,Low risk,<p>-</p>
1,3,All-cause mortality (time to event),Individuals with moderate disease,SUBGROUP_AND_OVERALL,Menichetti 2021,2021,-0.261365,0.347026,0.0,0.0,0,231,0.0,0.0,0,240,0.0,0.0,0.824082,0.77,0.390033,1.520126,,Low risk,"<p>A stratified permuted block randomization procedure with a 1:1 ratio, with blocks of variable sizes and stratification for clinical sites, was generated by using Stata version 16.1 (StataCorp). Eligible patients underwent web-based treatment allocation through REDcap platform to receive either administration of COVID-19 CP in addition to standard therapy (ST) or ST alone. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,"<p>Data for this outcome was available for (nearly) all participants randomized, in a modified intention-to-treat analysis.</p>",Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the protocol.</p>,Low risk,<p>-</p>
